INSTITUTO GEOFISICO DEL PERU
CENTRO NACIONAL DE MONITOREO SISMICO
Calle Calatrava 216 - La Molina 15023
http://www.igp.gob.pe

1. ESTACION SISMICA
NOMBRE  : Isla San Lorenzo, Callao
CODIGO  : SLN1
LATITUD : -12.076
LONGITUD: -77.235

2. SISMO
FECHA LOCAL     : 2023/06/19
HORA LOCAL      : 22:38:27
LATITUD         : -13.090
LONGITUD        : -76.780
PROFUNDIDAD     : 49.0 km
MAGNITUD        : M4.5
DIST. EPICENTRAL: 122.9 km

3. REGISTRO DE ACELERACION
TIEMPO DE INICIO           : 2023/06/20 03:38:36 UTC
NUMERO DE MUESTRAS         : 9836
MUESTREO                   : 100.0 muestras/segundo
REGISTROS                  : Formato corregido por instrumento
CORRECCION POR LINEA BASE  : Si
UNIDADES                   : cm/s2
REGISTROS POR COMPONENTE   : Z: Vertical  N: Norte-Sur  E: Este-Oeste
PGA                        :    0.5912         0.6932        0.9178

              Z              N              E
         -0.000450        0.000999       -0.000006
         -0.000445        0.001211       -0.000302
         -0.000184        0.001009       -0.000626
          0.000238        0.000355       -0.000725
          0.000566       -0.000356       -0.000600
          0.000632       -0.000732       -0.000441
          0.000468       -0.000789       -0.000286
          0.000260       -0.000767       -0.000044
          0.000117       -0.000729        0.000220
         -0.000083       -0.000621        0.000260
         -0.000469       -0.000478       -0.000074
         -0.000833       -0.000305       -0.000608
         -0.000807        0.000092       -0.001025
         -0.000399        0.000809       -0.001250
         -0.000020        0.001468       -0.001439
          0.000085        0.001551       -0.001564
          0.000120        0.001140       -0.001418
          0.000297        0.000849       -0.001080
          0.000441        0.000914       -0.000845
          0.000313        0.000860       -0.000629
          0.000054        0.000331       -0.000095
         -0.000010       -0.000341        0.000614
          0.000109       -0.000709        0.000992
          0.000080       -0.000787        0.000956
         -0.000213       -0.000740        0.000838
         -0.000499       -0.000520        0.000730
         -0.000584       -0.000123        0.000446
         -0.000579        0.000239       -0.000014
         -0.000514        0.000443       -0.000419
         -0.000199        0.000578       -0.000567
          0.000245        0.000646       -0.000381
          0.000288        0.000513        0.000019
         -0.000259        0.000263        0.000246
         -0.000900        0.000149       -0.000007
         -0.001137        0.000121       -0.000550
         -0.000953       -0.000113       -0.000951
         -0.000508       -0.000463       -0.001086
          0.000044       -0.000467       -0.001080
          0.000412       -0.000062       -0.000904
          0.000414        0.000218       -0.000437
          0.000308        0.000032        0.000243
          0.000406       -0.000278        0.000939
          0.000540       -0.000247        0.001581
          0.000338        0.000025        0.002142
         -0.000122        0.000073        0.002437
         -0.000372       -0.000206        0.002229
         -0.000226       -0.000335        0.001506
          0.000010        0.000089        0.000579
          0.000075        0.000754       -0.000107
          0.000123        0.000991       -0.000313
          0.000329        0.000662       -0.000266
          0.000477        0.000244       -0.000428
          0.000333        0.000077       -0.000885
          0.000138        0.000021       -0.001215
          0.000212       -0.000137       -0.001142
          0.000326       -0.000283       -0.000987
          0.000090       -0.000100       -0.001101
         -0.000262        0.000454       -0.001272
         -0.000184        0.000926       -0.001160
          0.000240        0.000853       -0.000908
          0.000405        0.000409       -0.000796
