INSTITUTO GEOFISICO DEL PERU
CENTRO NACIONAL DE MONITOREO SISMICO
Calle Calatrava 216 - La Molina 15023
http://www.igp.gob.pe

1. ESTACION SISMICA
NOMBRE  : Isla San Lorenzo, Callao
CODIGO  : SLN1
LATITUD : -12.076
LONGITUD: -77.235

2. SISMO
FECHA LOCAL     : 2022/10/17
HORA LOCAL      : 04:38:15
LATITUD         : -12.750
LONGITUD        : -76.870
PROFUNDIDAD     : 47.0 km
MAGNITUD        : M4.5
DIST. EPICENTRAL: 84.6 km

3. REGISTRO DE ACELERACION
TIEMPO DE INICIO           : 2022/10/17 09:38:21 UTC
NUMERO DE MUESTRAS         : 8631
MUESTREO                   : 100.0 muestras/segundo
REGISTROS                  : Formato corregido por instrumento
CORRECCION POR LINEA BASE  : Si
UNIDADES                   : cm/s2
REGISTROS POR COMPONENTE   : Z: Vertical  N: Norte-Sur  E: Este-Oeste
PGA                        :    1.3972         1.8280        3.4680

              Z              N              E
         -0.000899       -0.000791       -0.000439
         -0.000334        0.000477       -0.000570
          0.000005        0.001628        0.000122
         -0.000068        0.001842        0.000915
         -0.000071        0.001110        0.000867
          0.000416        0.000104       -0.000009
          0.001005       -0.000553       -0.000837
          0.000903       -0.000651       -0.000900
          0.000040       -0.000315       -0.000341
         -0.000636        0.000147        0.000111
         -0.000365        0.000446       -0.000022
          0.000325        0.000397       -0.000541
          0.000505       -0.000161       -0.000928
          0.000369       -0.001150       -0.000831
          0.000652       -0.001916       -0.000297
          0.000920       -0.001658        0.000247
          0.000140       -0.000479        0.000374
         -0.001210        0.000492        0.000064
         -0.001517        0.000522       -0.000387
         -0.000590        0.000284       -0.000724
          0.000144        0.000774       -0.000824
          0.000115        0.001762       -0.000668
          0.000218        0.002236       -0.000298
          0.000718        0.001902        0.000278
          0.000775        0.001343        0.000854
          0.000377        0.001047        0.000837
          0.000449        0.000942        0.000098
          0.000862        0.000734       -0.000354
          0.000653        0.000274        0.000272
          0.000027       -0.000353        0.001124
         -0.000159       -0.000874        0.001044
         -0.000139       -0.000868        0.000387
         -0.000375       -0.000058        0.000195
         -0.000345        0.001132        0.000523
          0.000111        0.001548        0.000672
          0.000199        0.000497        0.000284
          0.000004       -0.001098       -0.000325
          0.000551       -0.001543       -0.000562
          0.001587       -0.000512       -0.000252
          0.001771        0.000520        0.000163
          0.000983        0.000343        0.000305
          0.000238       -0.000407        0.000190
         -0.000142       -0.000480       -0.000229
         -0.000536        0.000028       -0.000920
         -0.000926        0.000140       -0.001269
         -0.000972       -0.000128       -0.000709
         -0.000660        0.000053        0.000396
         -0.000389        0.000535        0.001210
         -0.000578        0.000406        0.001260
         -0.001071       -0.000152        0.000572
         -0.001119       -0.000145       -0.000344
         -0.000447        0.000322       -0.000757
          0.000210        0.000264       -0.000532
          0.000232       -0.000328       -0.000211
         -0.000028       -0.000488       -0.000061
         -0.000071        0.000162        0.000048
         -0.000055        0.000992       -0.000060
         -0.000281        0.001252       -0.000501
         -0.000559        0.000769       -0.000726
         -0.000486        0.000023       -0.000438
         -0.000135       -0.000270       -0.000211
         -0.000135        0.000057       -0.000313
         -0.000736        0.000414       -0.000215
         -0.001110        0.000360        0.000190
         -0.000499        0.000251        0.000356
          0.000403        0.000349        0.000197
          0.000462        0.000041        0.000061
         -0.000101       -0.000963       -0.000048
         -0.000283       -0.001523       -0.000147
          0.000043       -0.000666        0.000024
          0.000292        0.000536        0.000311
          0.000281        0.000444        0.000136
          0.000299       -0.000527       -0.000452
          0.000590       -0.000648       -0.000670
          0.001071        0.000352       -0.000173
          0.001273        0.001134        0.000424
          0.000751        0.001008        0.000491
         -0.000186        0.000524        0.000282
         -0.000631        0.000092        0.000343
         -0.000236       -0.000341        0.000426
          0.000226       -0.000504       -0.000088
         -0.000126       -0.000149       -0.000941
         -0.000985        0.000180       -0.001321
         -0.001250       -0.000110       -0.001138
         -0.000680       -0.000693       -0.000854
         -0.000210       -0.000873       -0.000629
         -0.000361       -0.000534       -0.000491
         -0.000483       -0.000051       -0.000451
         -0.000045        0.000182       -0.000054
          0.000491       -0.000001        0.000923
          0.000654       -0.000360        0.001490
          0.000655       -0.000513        0.000741
          0.000598       -0.000539       -0.000399
          0.000121       -0.000796       -0.000478
