INSTITUTO GEOFISICO DEL PERU
CENTRO NACIONAL DE MONITOREO SISMICO
Calle Calatrava 216 - La Molina 15023
http://www.igp.gob.pe

1. ESTACION SISMICA
NOMBRE  : Isla San Lorenzo, Callao
CODIGO  : SLN1
LATITUD : -12.076
LONGITUD: -77.235

2. SISMO
FECHA LOCAL     : 2021/10/16
HORA LOCAL      : 07:53:39
LATITUD         : -11.664
LONGITUD        : -77.852
PROFUNDIDAD     : 47.0 km
MAGNITUD        : M4.5
DIST. EPICENTRAL: 81.2 km

3. REGISTRO DE ACELERACION
TIEMPO DE INICIO           : 2021/10/16 12:53:45 UTC
NUMERO DE MUESTRAS         : 8523
MUESTREO                   : 100.0 muestras/segundo
REGISTROS                  : Formato corregido por instrumento
CORRECCION POR LINEA BASE  : Si
UNIDADES                   : cm/s2
REGISTROS POR COMPONENTE   : Z: Vertical  N: Norte-Sur  E: Este-Oeste
PGA                        :    1.7955         3.4970        4.4717

              Z              N              E
          0.000107       -0.001007       -0.001352
         -0.000521       -0.002040       -0.001754
         -0.000645       -0.002894       -0.000294
         -0.000342       -0.002222        0.001387
          0.000432       -0.000376        0.001307
          0.001276        0.001029       -0.000102
          0.001195        0.001019       -0.000909
          0.000152       -0.000024       -0.000483
         -0.000431       -0.000879        0.000368
          0.000296       -0.000279        0.001672
          0.001392        0.001764        0.004271
          0.001764        0.003295        0.006902
          0.001554        0.002471        0.006359
          0.001097        0.000223        0.002325
          0.000071       -0.000876       -0.001151
         -0.001356       -0.000212       -0.001076
         -0.002011        0.000417        0.000716
         -0.001319       -0.000169        0.001085
         -0.000210       -0.001186       -0.000107
          0.000375       -0.001648       -0.000997
          0.000577       -0.001514       -0.000786
          0.000559       -0.000963       -0.000192
         -0.000096       -0.000194        0.000008
         -0.001200        0.000160       -0.000162
         -0.001703       -0.000217       -0.000131
         -0.001299       -0.000559        0.000498
         -0.000890       -0.000195        0.001295
         -0.000994        0.000321        0.001313
         -0.000971        0.000270        0.000506
         -0.000184       -0.000108        0.000177
          0.000992       -0.000392        0.000946
          0.001571       -0.000618        0.001261
          0.001066       -0.000634       -0.000256
          0.000165       -0.000117       -0.002146
          0.000019        0.000542       -0.002118
          0.000564        0.000631       -0.000598
          0.000415        0.000237        0.000305
         -0.000928       -0.000066        0.000165
         -0.001950       -0.000199        0.000067
         -0.001246       -0.000292        0.000124
          0.000431       -0.000041       -0.000508
          0.001374        0.000599       -0.001769
          0.001094        0.000567       -0.002616
          0.000376       -0.000983       -0.002508
         -0.000017       -0.002597       -0.001829
         -0.000030       -0.001846       -0.001156
         -0.000125        0.000620       -0.000908
         -0.000489        0.001187       -0.001298
         -0.000522       -0.001024       -0.001790
          0.000286       -0.002124       -0.001167
          0.001281        0.000336        0.000860
          0.001497        0.003114        0.002730
          0.001002        0.002650        0.002797
          0.000337        0.000621        0.001313
         -0.000367        0.000276       -0.000228
         -0.000790        0.000988       -0.000789
         -0.000265        0.000373       -0.000231
          0.000922       -0.001115        0.000881
          0.001421       -0.001200        0.001489
          0.000591        0.000355        0.000905
         -0.000665        0.001566       -0.000362
         -0.001168        0.001196       -0.001149
         -0.000733        0.000082       -0.000950
          0.000012       -0.000506       -0.000280
          0.000471       -0.000472        0.000142
          0.000469       -0.000316        0.000118
          0.000118       -0.000008       -0.000130
         -0.000315        0.000468       -0.000342
         -0.000399        0.000313       -0.000334
          0.000131       -0.000902       -0.000036
          0.000882       -0.001939        0.000372
          0.001147       -0.001400        0.000526
          0.000793        0.000078        0.000354
          0.000207        0.000697        0.000275
         -0.000403       -0.000015        0.000470
         -0.000949       -0.000907        0.000456
         -0.001176       -0.000914        0.000063
         -0.001060       -0.000062        0.000092
         -0.000805        0.000851        0.000973
         -0.000334        0.000993        0.001607
          0.000310        0.000211        0.000831
          0.000443       -0.000749       -0.000642
         -0.000191       -0.000994       -0.001045
         -0.000610       -0.000312        0.000064
         -0.000048        0.000952        0.001261
          0.000722        0.002187        0.001053
          0.000628        0.002507       -0.000346
         -0.000132        0.001492       -0.001293
         -0.000737        0.000098       -0.000877
         -0.000964       -0.000288       -0.000279
         -0.000952        0.000417       -0.000918
         -0.000620        0.001180       -0.001894
          0.000073        0.001194       -0.001381
          0.000789        0.000232       -0.000039
          0.001007       -0.001267       -0.000190
          0.000597       -0.001967       -0.001878
          0.000178       -0.000814       -0.002689
          0.000402        0.001217       -0.001386
          0.000818        0.001875        0.000670
          0.000522        0.000387        0.001636
         -0.000137       -0.001555        0.001142
         -0.000069       -0.002001        0.000214
          0.000632       -0.001126       -0.000089
          0.000987       -0.000565        0.000139
          0.000813       -0.001055        0.000104
          0.000505       -0.001905       -0.000328
          0.000043       -0.002195       -0.000617
         -0.000534       -0.001519       -0.000512
         -0.000796       -0.000092       -0.000074
         -0.000729        0.001308        0.000597
         -0.000688        0.001992        0.001046
         -0.000633        0.001955        0.000867
         -0.000467        0.001618        0.000408
         -0.000389        0.001481        0.000032
         -0.000235        0.001931       -0.000565
          0.000310        0.002546       -0.001303
          0.000610        0.002135       -0.001332
         -0.000159        0.000509       -0.000507
         -0.001276       -0.000813        0.000267
         -0.001292       -0.000821        0.000536
         -0.000252       -0.000530        0.000607
          0.000499       -0.001074        0.000581
          0.000294       -0.001854        0.000483
         -0.000368       -0.001796        0.000708
         -0.000749       -0.001081        0.001126
         -0.000473       -0.000559        0.000802
          0.000199       -0.000492       -0.000378
          0.000376       -0.000506       -0.001092
         -0.000426       -0.000040       -0.000400
         -0.001306        0.001059        0.000992
         -0.000889        0.001860        0.001738
          0.000730        0.001221        0.001268
          0.001794       -0.000154        0.000174
          0.000984       -0.000328       -0.000405
         -0.000705        0.000661       -0.000212
         -0.001042        0.000696       -0.000278
          0.000295       -0.000745       -0.001104
          0.001066       -0.001693       -0.001514
         -0.000028       -0.001124       -0.000619
         -0.001089       -0.000363        0.000466
         -0.000169       -0.000424        0.000324
          0.001346       -0.000684       -0.000621
          0.001017       -0.000623       -0.000933
         -0.000760       -0.000565       -0.000171
         -0.001696       -0.000580        0.000805
         -0.001091       -0.000458        0.001039
         -0.000178       -0.000408        0.000583
          0.000086       -0.000543        0.000311
         -0.000118       -0.000376        0.000469
         -0.000333        0.000341        0.000113
         -0.000401        0.001156       -0.001135
         -0.000255        0.001634       -0.001827
          0.000138        0.001726       -0.000715
          0.000499        0.001463        0.001037
          0.000362        0.000938        0.001430
         -0.000229        0.000364        0.000484
         -0.000551       -0.000251       -0.000285
         -0.000137       -0.001020       -0.000324
          0.000495       -0.001640       -0.000189
          0.000583       -0.001624        0.000017
          0.000236       -0.001195        0.000643
          0.000107       -0.001112        0.001449
          0.000264       -0.001421        0.001761
          0.000245       -0.001328        0.001287
          0.000111       -0.000568        0.000333
          0.000511        0.000161       -0.000376
          0.001559        0.000370       -0.000320
          0.002445        0.000285        0.000087
          0.002367        0.000094        0.000077
          0.001322       -0.000066       -0.000369
          0.000067        0.000480       -0.000898
         -0.000340        0.002070       -0.001454
          0.000487        0.003440       -0.001635
          0.001294        0.002875       -0.000785
          0.000420        0.000598        0.000435
         -0.001476       -0.001191        0.000476
         -0.001890       -0.000886       -0.000521
         -0.000354        0.000583       -0.000851
          0.000750        0.000923       -0.000090
          0.000077       -0.000499        0.000647
         -0.000796       -0.001662        0.000940
         -0.000331       -0.000727        0.001163
          0.000557        0.001112        0.001073
          0.000231        0.001413        0.000405
         -0.001090        0.000287       -0.000095
         -0.001688       -0.000201        0.000113
         -0.000695        0.000219        0.000385
          0.000861        0.000067        0.000377
          0.001492       -0.000592        0.000771
          0.001020       -0.000278        0.001532
          0.000340        0.000855        0.001513
          0.000034        0.001188        0.000652
          0.000071        0.000447        0.000393
          0.000258       -0.000157        0.001253
          0.000202       -0.000088        0.002062
         -0.000483        0.000127        0.002003
         -0.001343        0.000095        0.001430
         -0.001339       -0.000186        0.000468
         -0.000397       -0.000744       -0.001121
          0.000242       -0.001357       -0.002470
         -0.000201       -0.001434       -0.002187
