INSTITUTO GEOFISICO DEL PERU
CENTRO NACIONAL DE MONITOREO SISMICO
Calle Calatrava 216 - La Molina 15023
http://www.igp.gob.pe

1. ESTACION SISMICA
NOMBRE  : Isla San Lorenzo, Callao
CODIGO  : SLN1
LATITUD : -12.076
LONGITUD: -77.235

2. SISMO
FECHA LOCAL     : 2021/04/19
HORA LOCAL      : 23:53:29
LATITUD         : -12.648
LONGITUD        : -76.879
PROFUNDIDAD     : 44.0 km
MAGNITUD        : M5.0
DIST. EPICENTRAL: 74.3 km

3. REGISTRO DE ACELERACION
TIEMPO DE INICIO           : 2021/04/20 04:53:35 UTC
NUMERO DE MUESTRAS         : 8288
MUESTREO                   : 100.0 muestras/segundo
REGISTROS                  : Formato corregido por instrumento
CORRECCION POR LINEA BASE  : Si
UNIDADES                   : cm/s2
REGISTROS POR COMPONENTE   : Z: Vertical  N: Norte-Sur  E: Este-Oeste
PGA                        :    4.9659         9.3884       10.1010

              Z              N              E
         -0.000283       -0.001689        0.001311
         -0.000312       -0.002344        0.000668
         -0.000535       -0.002761        0.000367
         -0.001058       -0.002668        0.000010
         -0.001050       -0.002217       -0.001034
         -0.000081       -0.001433       -0.002170
          0.000990       -0.000334       -0.001909
          0.001104        0.000352       -0.000167
          0.000404       -0.000114        0.001213
         -0.000228       -0.000987        0.000851
         -0.000522       -0.000700       -0.000548
         -0.000689        0.000570       -0.001337
         -0.000510        0.000679       -0.000744
          0.000159       -0.001174        0.000540
          0.000575       -0.002784        0.001255
          0.000180       -0.002030        0.001128
         -0.000253        0.000105        0.001014
          0.000045        0.001243        0.001231
          0.000344        0.000863        0.001049
         -0.000173        0.000221        0.000363
         -0.000649        0.000213        0.000243
          0.000068        0.000672        0.001014
          0.001282        0.001124        0.001282
          0.001455        0.001247       -0.000078
          0.000603        0.000866       -0.002063
          0.000115        0.000160       -0.002873
          0.000598       -0.000223       -0.002379
          0.001191        0.000075       -0.002015
          0.000984        0.000407       -0.002457
          0.000133        0.000058       -0.002713
         -0.000600       -0.000463       -0.001911
         -0.000833       -0.000275       -0.000927
         -0.000730        0.000236       -0.001016
         -0.000463        0.000126       -0.001399
         -0.000003       -0.000199       -0.000246
          0.000482        0.000514        0.001892
          0.000539        0.002070        0.002281
          0.000048        0.002748        0.000230
         -0.000480        0.001801       -0.001727
         -0.000596        0.000550       -0.001608
         -0.000444        0.000431       -0.000083
         -0.000290        0.001123        0.001563
         -0.000069        0.001272        0.002683
          0.000195        0.000329        0.002529
          0.000148       -0.000894        0.000967
         -0.000298       -0.001317       -0.000475
         -0.000618       -0.000956       -0.000482
         -0.000328       -0.000754        0.000098
          0.000355       -0.001025       -0.000016
          0.000736       -0.001094       -0.000374
          0.000453       -0.000730       -0.000092
         -0.000098       -0.000423        0.000317
         -0.000358       -0.000065        0.000096
         -0.000302        0.000743       -0.000256
         -0.000147        0.001254       -0.000088
          0.000033        0.000628        0.000099
          0.000010       -0.000234       -0.000379
         -0.000370       -0.000082       -0.001247
         -0.000531        0.000512       -0.001803
          0.000052        0.000320       -0.001673
          0.000641       -0.000440       -0.000949
          0.000278       -0.000725       -0.000266
         -0.000428       -0.000375       -0.000242
         -0.000132       -0.000103       -0.000515
          0.001017       -0.000365       -0.000374
          0.001484       -0.000767       -0.000182
          0.000578       -0.000522       -0.000635
         -0.000582        0.000539       -0.001121
         -0.000648        0.001688       -0.000609
          0.000113        0.002364        0.000460
          0.000346        0.002830        0.000985
         -0.000238        0.003179        0.001130
         -0.000513        0.002723        0.001722
          0.000046        0.001269        0.002370
          0.000532       -0.000106        0.001885
          0.000257       -0.000607        0.000301
         -0.000307       -0.000911       -0.000877
         -0.000604       -0.001713       -0.000657
         -0.000616       -0.002173        0.000254
         -0.000315       -0.001224        0.000730
          0.000274        0.000319        0.000702
          0.000671        0.000569        0.000572
          0.000563       -0.000679        0.000236
          0.000316       -0.001646       -0.000269
          0.000202       -0.001282       -0.000241
          0.000031       -0.000688        0.000541
         -0.000098       -0.001099        0.001183
          0.000016       -0.001987        0.000971
         -0.000261       -0.002183        0.000383
         -0.001500       -0.001558        0.000244
         -0.002566       -0.000511        0.000509
         -0.001811        0.000906        0.000384
          0.000262        0.002271       -0.000311
          0.001541        0.002490       -0.000420
          0.001369        0.001285        0.000973
          0.001040       -0.000048        0.002499
          0.001216       -0.000190        0.001847
          0.001038        0.000551       -0.000685
          0.000284        0.000766       -0.002317
          0.000107       -0.000200       -0.001857
          0.000793       -0.001484       -0.000927
          0.000962       -0.001974       -0.000636
         -0.000046       -0.001687       -0.000025
         -0.001059       -0.001276        0.001391
         -0.001036       -0.000843        0.002357
         -0.000290       -0.000183        0.002031
          0.000478        0.000391        0.001294
          0.000845        0.000346        0.001159
          0.000576       -0.000357        0.001317
          0.000014       -0.001337        0.000894
         -0.000110       -0.002083       -0.000226
          0.000128       -0.002088       -0.001394
         -0.000128       -0.001348       -0.002005
         -0.000901       -0.000576       -0.001761
         -0.001076       -0.000324       -0.000674
         -0.000155       -0.000298        0.000465
          0.000844        0.000040        0.000363
          0.000821        0.000670       -0.001004
          0.000028        0.001156       -0.001782
         -0.000590        0.001223       -0.000650
         -0.000753        0.001029        0.001054
         -0.000774        0.001000        0.001108
         -0.000757        0.001413       -0.000434
         -0.000682        0.002103       -0.001536
         -0.000682        0.002500       -0.001323
         -0.000655        0.002015       -0.001091
         -0.000287        0.000752       -0.001881
          0.000201       -0.000203       -0.002690
          0.000125        0.000091       -0.002134
         -0.000602        0.000881       -0.000727
         -0.001264        0.000394        0.000001
         -0.001298       -0.001493       -0.000038
         -0.000907       -0.002575        0.000277
         -0.000716       -0.001255        0.000921
         -0.001007        0.001107        0.000713
         -0.001303        0.002060       -0.000317
         -0.000937        0.001207       -0.000690
         -0.000114        0.000145        0.000095
          0.000220        0.000108        0.000778
         -0.000162        0.000796        0.000400
         -0.000261        0.001075       -0.000385
          0.000630        0.000326       -0.000472
          0.001776       -0.000822        0.000150
          0.002094       -0.001330        0.000489
          0.001523       -0.001140       -0.000053
          0.000686       -0.000816       -0.000767
          0.000094       -0.000301       -0.000509
          0.000074        0.000524        0.000769
          0.000575        0.000793        0.001993
          0.000957       -0.000117        0.002152
          0.000801       -0.001138        0.000988
          0.000504       -0.000896       -0.000802
          0.000383        0.000322       -0.001732
          0.000143        0.001202       -0.001002
         -0.000136        0.001093        0.000221
          0.000181        0.000254        0.000448
          0.000896       -0.000761        0.000184
          0.000904       -0.001456        0.000734
          0.000023       -0.001618        0.001669
         -0.000590       -0.001400        0.001680
         -0.000337       -0.000984        0.000934
          0.000019       -0.000336        0.000515
         -0.000071        0.000442        0.000535
         -0.000147        0.000956        0.000442
         -0.000058        0.001180        0.000255
         -0.000387        0.001730        0.000201
         -0.001001        0.002665       -0.000031
         -0.000852        0.002705       -0.000637
          0.000232        0.001052       -0.001025
          0.001060       -0.000721       -0.000794
          0.000806       -0.000520       -0.000705
          0.000038        0.001086       -0.001542
         -0.000256        0.001743       -0.002542
          0.000155        0.000850       -0.002237
          0.000702       -0.000198       -0.000613
          0.000693       -0.000813        0.000754
          0.000018       -0.001641        0.000734
         -0.000735       -0.002451       -0.000037
         -0.000931       -0.002134       -0.000257
         -0.000469       -0.000826        0.000178
          0.000287        0.000025        0.000219
          0.000766       -0.000125       -0.000500
          0.000503       -0.000355       -0.001015
         -0.000244       -0.000014       -0.000614
         -0.000487        0.000521        0.000082
          0.000168        0.000948        0.000296
          0.000698        0.001347        0.000329
          0.000104        0.001317        0.000747
         -0.000887        0.000438        0.001147
         -0.000725       -0.000583        0.000834
          0.000739       -0.000861        0.000228
          0.002053       -0.000781        0.000432
          0.002121       -0.000967        0.001610
          0.001337       -0.000958        0.002676
          0.000547       -0.000380        0.002592
         -0.000134       -0.000045        0.001501
         -0.000813       -0.000597        0.000623
         -0.001021       -0.001364        0.000972
         -0.000364       -0.001518        0.001939
          0.000554       -0.001276        0.001758
          0.000842       -0.001118       -0.000040
          0.000501       -0.000842       -0.001681
          0.000095       -0.000196       -0.001566
         -0.000265        0.000432       -0.000480
         -0.000754        0.000674       -0.000111
         -0.001124        0.000723       -0.000481
         -0.000952        0.000739       -0.000413
         -0.000385        0.000663        0.000226
         -0.000094        0.000798        0.000319
         -0.000408        0.001447       -0.000748
         -0.000767        0.002047       -0.002119
         -0.000437        0.001718       -0.002367
          0.000331        0.000571       -0.001186
          0.000586       -0.000329        0.000108
          0.000129       -0.000269        0.000327
         -0.000241        0.000224        0.000063
         -0.000039        0.000014        0.000486
          0.000322       -0.001045        0.001374
          0.000363       -0.001818        0.001724
          0.000074       -0.001762        0.001235
         -0.000421       -0.001967        0.000153
         -0.000984       -0.003173       -0.001084
         -0.001325       -0.003953       -0.001648
         -0.001291       -0.002506       -0.001212
         -0.001124        0.000444       -0.000840
         -0.001103        0.002198       -0.001627
         -0.001193        0.001547       -0.002987
         -0.001200        0.000211       -0.003481
         -0.001001        0.000191       -0.002683
         -0.000595        0.001149       -0.001450
         -0.000157        0.001585       -0.000829
          0.000007        0.001135       -0.001068
         -0.000162        0.000280       -0.001432
         -0.000219       -0.000612       -0.001037
          0.000360       -0.000767       -0.000039
          0.001407        0.000506        0.000447
          0.001960        0.002045       -0.000002
          0.001291        0.001863       -0.000196
          0.000015        0.000299        0.001147
         -0.000387       -0.000457        0.003471
          0.000632        0.000026        0.004898
          0.001979        0.000063        0.004462
          0.002237       -0.000869        0.003084
          0.001125       -0.001154        0.002178
         -0.000467        0.000217        0.001834
         -0.001364        0.001922        0.000979
         -0.001081        0.002135       -0.000632
         -0.000341        0.000939       -0.001639
         -0.000275       -0.000025       -0.001086
         -0.000911        0.000154       -0.000132
         -0.001174        0.000704       -0.000342
         -0.000637        0.000539       -0.001249
         -0.000224       -0.000262       -0.001418
         -0.000637       -0.000718       -0.000978
         -0.001078       -0.000256       -0.000958
         -0.000450        0.000666       -0.001051
          0.000731        0.001236       -0.000200
          0.000823        0.001316        0.001341
         -0.000447        0.001425        0.002333
         -0.001285        0.001739        0.002296
         -0.000395        0.001685        0.001734
          0.001035        0.000788        0.001245
          0.001142       -0.000564        0.001095
          0.000044       -0.001562        0.001071
         -0.000680       -0.001966        0.000544
         -0.000261       -0.002283       -0.000680
          0.000726       -0.002770       -0.001650
          0.001403       -0.002707       -0.001318
          0.001302       -0.001446       -0.000274
          0.000572        0.000145       -0.000293
         -0.000001        0.000575       -0.001810
          0.000319       -0.000056       -0.003006
          0.001179       -0.000250       -0.002232
          0.001441        0.000637       -0.000377
          0.000741        0.001850        0.000410
         -0.000028        0.002645       -0.000341
         -0.000107        0.002814       -0.001111
          0.000207        0.002153       -0.000643
          0.000365        0.000734        0.000709
          0.000358       -0.000591        0.001793
          0.000332       -0.001096        0.001932
          0.000239       -0.001110        0.001263
          0.000055       -0.001116        0.000409
         -0.000200       -0.000821        0.000085
         -0.000477       -0.000208        0.000683
         -0.000486       -0.000221        0.001750
         -0.000012       -0.001095        0.002062
          0.000493       -0.001509        0.000886
          0.000467       -0.000716       -0.000867
          0.000244        0.000242       -0.001548
          0.000484        0.000416       -0.000868
          0.000924        0.000163       -0.000242
          0.000829       -0.000088       -0.000887
          0.000327       -0.000368       -0.002301
          0.000116       -0.000284       -0.002951
          0.000187        0.000494       -0.002127
         -0.000063        0.000998       -0.000715
         -0.000684        0.000149        0.000047
         -0.001123       -0.001002        0.000063
         -0.001154       -0.000426        0.000035
         -0.001027        0.001480        0.000161
         -0.000924        0.002182        0.000222
         -0.000856        0.000955        0.000434
         -0.000863       -0.000276        0.001100
         -0.000932       -0.000507        0.001712
         -0.000832       -0.000866        0.001318
         -0.000277       -0.001627       -0.000147
          0.000583       -0.001419       -0.001426
          0.000932       -0.000211       -0.001192
          0.000192        0.000174        0.000247
         -0.000813       -0.000765        0.001114
         -0.000639       -0.001440        0.000373
          0.000648       -0.001149       -0.000907
          0.001415       -0.001230       -0.001089
          0.000814       -0.002479       -0.000161
         -0.000185       -0.003471        0.000590
         -0.000522       -0.002646        0.000516
         -0.000499       -0.000663        0.000014
         -0.000813        0.000720       -0.000533
         -0.001141        0.001131       -0.000952
         -0.000719        0.001508       -0.000717
          0.000143        0.002199        0.000467
          0.000301        0.002486        0.001643
         -0.000438        0.001890        0.001474
         -0.001016        0.001028        0.000271
         -0.000860        0.000740       -0.000265
         -0.000526        0.000760        0.000451
         -0.000253        0.000159        0.001258
          0.000482       -0.000862        0.001332
          0.001450       -0.000872        0.000964
          0.001429        0.000613        0.000164
          0.000204        0.002049       -0.001209
         -0.000763        0.001655       -0.002097
         -0.000380       -0.000337       -0.001566
          0.000547       -0.001783       -0.000863
          0.000516       -0.001051       -0.001404
         -0.000645        0.000824       -0.001957
         -0.001576        0.001293       -0.000805
         -0.001169       -0.000095        0.000918
         -0.000002       -0.000872        0.001127
          0.000606        0.000565        0.000284
          0.000499        0.002414        0.000170
          0.000573        0.002303        0.000755
          0.001047        0.000626        0.000790
          0.001115       -0.000686        0.000150
          0.000398       -0.000944       -0.000326
         -0.000365       -0.000719       -0.000150
         -0.000344       -0.000553        0.000742
          0.000368       -0.000769        0.001993
          0.001002       -0.001487        0.002576
          0.000964       -0.002213        0.001953
          0.000352       -0.002178        0.001123
         -0.000126       -0.001294        0.001118
          0.000242       -0.000294        0.001311
          0.001331        0.000015        0.000708
          0.001980       -0.000610       -0.000214
          0.001257       -0.001613       -0.000446
         -0.000125       -0.001813       -0.000126
         -0.000633       -0.000410        0.000000
         -0.000114        0.001727       -0.000192
          0.000178        0.002562       -0.000539
         -0.000305        0.001374       -0.001122
         -0.000771       -0.000185       -0.001768
         -0.000519       -0.000318       -0.001935
          0.000228        0.000715       -0.001482
          0.000818        0.001473       -0.000758
          0.000843        0.001414        0.000055
          0.000562        0.001152        0.000834
          0.000672        0.001203        0.001055
          0.001201        0.001271        0.000446
          0.001178        0.000814       -0.000245
          0.000004        0.000004       -0.000089
         -0.001562       -0.000253        0.000747
         -0.002329        0.000548        0.001210
         -0.001977        0.001674        0.000550
         -0.001073        0.001899       -0.000929
         -0.000297        0.000931       -0.001942
          0.000038       -0.000317       -0.001403
         -0.000096       -0.000884        0.000066
         -0.000577       -0.000835        0.000749
         -0.000987       -0.000872        0.000309
         -0.000757       -0.001099        0.000120
          0.000005       -0.000901        0.000659
          0.000277       -0.000161        0.000661
         -0.000476        0.000329       -0.000290
         -0.001181        0.000045       -0.000654
         -0.000539       -0.000500        0.000250
          0.000898       -0.000575        0.000573
          0.001392       -0.000178       -0.001125
          0.000563        0.000219       -0.003273
         -0.000301        0.000339       -0.003646
         -0.000557        0.000114       -0.002722
         -0.000912       -0.000402       -0.002355
         -0.001428       -0.000627       -0.002190
         -0.000987        0.000284       -0.000212
          0.000454        0.001934        0.003219
          0.001166        0.002454        0.004933
          0.000186        0.000992        0.003542
         -0.001114       -0.000771        0.001442
         -0.001022       -0.001084        0.000870
          0.000179       -0.000706        0.001052
          0.000848       -0.001121        0.000692
          0.000272       -0.001739        0.000194
         -0.000597       -0.001256       -0.000010
         -0.000646       -0.000315       -0.000558
         -0.000068       -0.000240       -0.001432
          0.000238       -0.000645       -0.001530
          0.000150       -0.000654       -0.000706
          0.000198       -0.000639       -0.000166
          0.000293       -0.000743       -0.000358
         -0.000140       -0.000026       -0.000453
         -0.000889        0.001332       -0.000229
         -0.001128        0.001615       -0.000463
         -0.000732        0.000564       -0.001174
         -0.000288        0.000096       -0.001423
         -0.000069        0.001139       -0.001076
          0.000056        0.002241       -0.000977
          0.000169        0.002054       -0.001288
          0.000398        0.001125       -0.001270
          0.000843        0.000523       -0.000621
          0.001133        0.000234        0.000214
          0.000875       -0.000257        0.000793
          0.000420       -0.000814        0.000930
          0.000298       -0.001031        0.000684
          0.000396       -0.001203        0.000472
          0.000442       -0.001875        0.000652
          0.000478       -0.002805        0.001036
          0.000468       -0.003290        0.001231
          0.000388       -0.003060        0.001031
          0.000602       -0.002173        0.000267
          0.001149       -0.000780       -0.000856
          0.001232        0.000576       -0.001381
          0.000402        0.001310       -0.000727
         -0.000568        0.001483        0.000169
         -0.000748        0.001427        0.000128
         -0.000173        0.001103       -0.000441
          0.000520        0.000458       -0.000293
          0.000828       -0.000183        0.000754
          0.000616       -0.000457        0.001724
          0.000067       -0.000298        0.001791
         -0.000512        0.000056        0.001119
         -0.000804        0.000169        0.000668
         -0.000540       -0.000234        0.001203
          0.000105       -0.000881        0.002319
          0.000431       -0.001129        0.002820
          0.000119       -0.000698        0.002227
         -0.000336       -0.000164        0.001398
         -0.000544       -0.000371        0.001310
         -0.000591       -0.001238        0.001739
         -0.000309       -0.001834        0.001706
          0.000473       -0.001773        0.000923
          0.001019       -0.001467        0.000008
          0.000511       -0.000846       -0.000533
         -0.000505        0.000595       -0.000621
         -0.000818        0.002192       -0.000228
         -0.000148        0.002384        0.000305
          0.000869        0.001080        0.000163
          0.001504        0.000071       -0.000717
          0.001229        0.000505       -0.001342
          0.000085        0.001410       -0.001396
         -0.001091        0.001447       -0.001674
         -0.001496        0.000853       -0.002133
         -0.001264        0.000669       -0.001612
         -0.001012        0.001017       -0.000129
         -0.000964        0.001280        0.000638
         -0.000920        0.001213       -0.000249
         -0.000577        0.000808       -0.001742
          0.000214       -0.000152       -0.002274
          0.000914       -0.001389       -0.001530
          0.000511       -0.001877       -0.000572
         -0.000870       -0.001248       -0.000435
         -0.001477       -0.000497       -0.000787
         -0.000323       -0.000491       -0.000508
          0.001123       -0.000726        0.000542
          0.001053       -0.000409        0.001309
         -0.000084        0.000145        0.001115
         -0.000586        0.000236        0.000413
          0.000014        0.000105       -0.000070
          0.000768        0.000388       -0.000180
          0.000853        0.000912       -0.000231
          0.000368        0.001188       -0.000487
         -0.000021        0.001378       -0.000785
          0.000149        0.001708       -0.000622
          0.000526        0.001626        0.000103
          0.000342        0.000694        0.000604
         -0.000428       -0.000246        0.000090
         -0.000949        0.000014       -0.000988
         -0.000858        0.001110       -0.001388
         -0.000763        0.001452       -0.000818
         -0.000983        0.000778       -0.000287
         -0.000889        0.000674       -0.000481
         -0.000103        0.001678       -0.000785
          0.000730        0.001971       -0.000459
          0.001046        0.000508        0.000129
          0.001079       -0.000809        0.000246
          0.000939       -0.000194        0.000076
          0.000297        0.000988        0.000411
         -0.000521        0.000588        0.001283
         -0.000505       -0.000880        0.001676
          0.000533       -0.001477        0.000966
          0.001502       -0.000982        0.000030
          0.001472       -0.000682        0.000064
          0.000735       -0.000975        0.000796
          0.000121       -0.000960        0.000983
         -0.000077       -0.000120        0.000324
         -0.000029        0.000940       -0.000340
          0.000253        0.001472       -0.000538
          0.000803        0.001396       -0.000637
          0.001270        0.001082       -0.000837
          0.001225        0.000913       -0.000943
          0.000755        0.001052       -0.001125
          0.000370        0.001268       -0.001625
          0.000283        0.001153       -0.001859
          0.000038        0.000606       -0.001141
         -0.000763       -0.000070       -0.000033
         -0.001413       -0.000467        0.000372
         -0.000778       -0.000421        0.000067
          0.000735       -0.000338       -0.000263
          0.001269       -0.000862       -0.000545
          0.000160       -0.001875       -0.000972
         -0.001047       -0.002436       -0.001175
         -0.000931       -0.002060       -0.000843
         -0.000020       -0.001287       -0.000256
          0.000480       -0.000865        0.000412
          0.000359       -0.001106        0.001245
          0.000102       -0.001803        0.001883
         -0.000024       -0.002190        0.001824
