INSTITUTO GEOFISICO DEL PERU
CENTRO NACIONAL DE MONITOREO SISMICO
Calle Calatrava 216 - La Molina 15023
http://www.igp.gob.pe

1. ESTACION SISMICA
NOMBRE  : Isla San Lorenzo, Callao
CODIGO  : SLN1
LATITUD : -12.076
LONGITUD: -77.235

2. SISMO
FECHA LOCAL     : 2025/06/15
HORA LOCAL      : 11:35:27
LATITUD         : -12.180
LONGITUD        : -77.390
PROFUNDIDAD     : 49.0 km
MAGNITUD        : M6.1
DIST. EPICENTRAL: 20.4 km

3. REGISTRO DE ACELERACION
TIEMPO DE INICIO           : 2025/06/15 16:35:30 UTC
NUMERO DE MUESTRAS         : 7038
MUESTREO                   : 100.0 muestras/segundo
REGISTROS                  : Formato corregido por instrumento
CORRECCION POR LINEA BASE  : Si
UNIDADES                   : cm/s2
REGISTROS POR COMPONENTE   : Z: Vertical  N: Norte-Sur  E: Este-Oeste
PGA                        :   29.4497        33.7272       29.5751

              Z              N              E
         -0.000625        0.001350        0.000925
         -0.000164        0.000069        0.001707
          0.000022       -0.000861        0.002383
         -0.000001       -0.000871        0.002281
          0.000228       -0.000679        0.001247
          0.000744       -0.000863        0.000039
          0.001046       -0.001082       -0.000563
          0.000845       -0.000995       -0.000681
          0.000474       -0.000778       -0.000943
          0.000412       -0.000581       -0.001469
          0.000693       -0.000413       -0.001756
          0.000929       -0.000430       -0.001383
          0.000771       -0.000642       -0.000539
          0.000254       -0.000712        0.000054
         -0.000256       -0.000551       -0.000175
         -0.000456       -0.000502       -0.000931
         -0.000462       -0.000588       -0.001411
         -0.000625       -0.000316       -0.001353
         -0.000922        0.000478       -0.001099
         -0.000958        0.001192       -0.000713
         -0.000701        0.001231        0.000062
         -0.000617        0.000720        0.001030
         -0.000788        0.000118        0.001624
         -0.000669       -0.000407        0.001767
         -0.000128       -0.000809        0.001866
          0.000150       -0.000866        0.001989
         -0.000202       -0.000500        0.001743
         -0.000527        0.000046        0.001013
         -0.000222        0.000530        0.000242
