INSTITUTO GEOFISICO DEL PERU
CENTRO NACIONAL DE MONITOREO SISMICO
Calle Calatrava 216 - La Molina 15023
http://www.igp.gob.pe

1. ESTACION SISMICA
NOMBRE  : Isla San Lorenzo, Callao
CODIGO  : SLN1
LATITUD : -12.076
LONGITUD: -77.235

2. SISMO
FECHA LOCAL     : 2024/03/04
HORA LOCAL      : 09:59:27
LATITUD         : -12.070
LONGITUD        : -76.830
PROFUNDIDAD     : 83.0 km
MAGNITUD        : M4.5
DIST. EPICENTRAL: 43.9 km

3. REGISTRO DE ACELERACION
TIEMPO DE INICIO           : 2024/03/04 14:59:33 UTC
NUMERO DE MUESTRAS         : 8348
MUESTREO                   : 100.0 muestras/segundo
REGISTROS                  : Formato corregido por instrumento
CORRECCION POR LINEA BASE  : Si
UNIDADES                   : cm/s2
REGISTROS POR COMPONENTE   : Z: Vertical  N: Norte-Sur  E: Este-Oeste
PGA                        :    1.7815         5.4176        4.6113

              Z              N              E
         -0.000426       -0.000039        0.000544
          0.000004       -0.000500        0.000596
         -0.000034       -0.000720        0.000008
         -0.000303       -0.000684       -0.000539
         -0.000163       -0.000500       -0.000459
          0.000297       -0.000283        0.000071
          0.000510       -0.000176        0.000435
          0.000427       -0.000196        0.000376
          0.000426       -0.000169        0.000199
          0.000480       -0.000029        0.000175
          0.000239        0.000052        0.000111
         -0.000164        0.000025       -0.000200
         -0.000201        0.000088       -0.000440
          0.000165        0.000281       -0.000174
          0.000420        0.000348        0.000368
          0.000347        0.000196        0.000575
          0.000249        0.000056        0.000402
          0.000305        0.000038        0.000357
          0.000362       -0.000048        0.000552
          0.000355       -0.000260        0.000532
          0.000360       -0.000344        0.000213
          0.000281       -0.000158        0.000155
         -0.000000        0.000105        0.000552
         -0.000260        0.000249        0.000756
         -0.000179        0.000287        0.000321
          0.000159        0.000243       -0.000229
          0.000412        0.000105       -0.000328
          0.000453        0.000052       -0.000319
          0.000309        0.000294       -0.000702
         -0.000038        0.000628       -0.001134
         -0.000406        0.000614       -0.001041
         -0.000401        0.000224       -0.000620
         -0.000054       -0.000151       -0.000484
          0.000099       -0.000292       -0.000734
         -0.000160       -0.000264       -0.000945
         -0.000432       -0.000068       -0.000778
         -0.000383        0.000276       -0.000261
         -0.000142        0.000474        0.000314
          0.000024        0.000318        0.000581
          0.000011        0.000097        0.000387
         -0.000112        0.000175        0.000027
         -0.000143        0.000430       -0.000084
          0.000056        0.000538       -0.000015
          0.000243        0.000474       -0.000174
          0.000002        0.000313       -0.000514
         -0.000527       -0.000075       -0.000510
         -0.000648       -0.000631       -0.000091
         -0.000160       -0.000811        0.000167
          0.000264       -0.000285        0.000008
          0.000101        0.000408       -0.000111
         -0.000289        0.000495        0.000114
         -0.000329       -0.000019        0.000327
         -0.000071       -0.000517        0.000151
          0.000028       -0.000656       -0.000247
         -0.000151       -0.000556       -0.000450
         -0.000215       -0.000357       -0.000309
          0.000110       -0.000047       -0.000062
          0.000467        0.000330       -0.000003
          0.000345        0.000597       -0.000046
         -0.000128        0.000571        0.000148
         -0.000362        0.000248        0.000566
         -0.000160       -0.000114        0.000774
          0.000099       -0.000233        0.000545
          0.000099       -0.000169        0.000129
         -0.000055       -0.000211       -0.000150
         -0.000124       -0.000374       -0.000246
         -0.000051       -0.000394       -0.000266
          0.000075       -0.000223       -0.000236
          0.000204       -0.000104       -0.000094
          0.000285       -0.000103        0.000123
          0.000218       -0.000003        0.000202
          0.000073        0.000213        0.000048
          0.000184        0.000149       -0.000096
          0.000623       -0.000429       -0.000035
          0.000826       -0.000977       -0.000023
          0.000306       -0.000689       -0.000307
         -0.000508        0.000338       -0.000548
         -0.000736        0.001039       -0.000294
         -0.000251        0.000723        0.000192
          0.000186       -0.000075        0.000215
          0.000009       -0.000402       -0.000311
         -0.000496       -0.000043       -0.000699
         -0.000733        0.000441       -0.000469
         -0.000553        0.000515       -0.000006
         -0.000214        0.000206        0.000072
          0.000070       -0.000068       -0.000155
          0.000260       -0.000046       -0.000110
          0.000316        0.000133        0.000349
          0.000167        0.000237        0.000733
         -0.000079        0.000267        0.000665
         -0.000112        0.000291        0.000349
          0.000179        0.000164        0.000204
          0.000425       -0.000228        0.000307
          0.000234       -0.000593        0.000350
         -0.000198       -0.000512        0.000075
         -0.000354       -0.000054       -0.000382
         -0.000173        0.000256       -0.000636
         -0.000016        0.000106       -0.000505
          0.000022       -0.000269       -0.000183
          0.000151       -0.000461        0.000042
