epoch,seconds,train_loss,train_mae_samples,train_mae_seconds,train_median_ae_samples,train_rmse_samples,train_within_0_1s_percent,train_within_0_2s_percent,train_within_0_5s_percent,train_mean_peak_probability,validation_loss,validation_mae_samples,validation_mae_seconds,validation_median_ae_samples,validation_rmse_samples,validation_within_0_1s_percent,validation_within_0_2s_percent,validation_within_0_5s_percent,validation_mean_peak_probability
11,45.527035299997806,4.381587898254394,56.89925,0.5689925,6.0,152.7743052676071,65.78,75.91250000000001,83.175,0.0656237328529358,4.294041305541993,53.3288,0.533288,5.0,146.89890401224918,68.4,77.32,83.74000000000001,0.04377106475830078
12,46.770461600001,4.352366513061523,52.613575,0.52613575,6.0,145.3130545580816,66.4775,76.875,84.3225,0.06692595310211182,4.267345333099366,50.4384,0.504384,5.0,139.5250887833439,68.4,77.12,84.2,0.04477022857666016
13,45.97856669999965,4.324979175567627,49.31535,0.4931535,5.0,140.1858429014856,67.32249999999999,77.6675,85.2575,0.06804036779403687,4.221046523284912,45.4914,0.454914,4.0,135.78412499257783,70.67999999999999,79.4,86.38,0.04546340560913086
14,45.19121989999985,4.28956672668457,45.8357,0.458357,5.0,133.98932401501247,68.1925,78.505,86.2225,0.06888339529037475,4.195401522064209,50.091,0.50091,4.0,150.37879704266823,71.06,80.06,86.52,0.04484946899414063
15,47.27093160000004,4.266486885070801,45.0616,0.45061599999999996,5.0,132.82400310184903,68.49,78.925,86.6125,0.06931211080551147,4.172577292633057,43.1508,0.43150799999999995,4.0,129.8242997285177,71.28,80.08,86.94,0.04623372039794922
16,46.82346820000021,4.242310662841797,43.12965,0.43129649999999997,5.0,128.9530674315272,69.055,79.375,87.08500000000001,0.06962868099212646,4.1379430351257325,45.4982,0.454982,4.0,137.82827939142243,71.46000000000001,80.06,87.03999999999999,0.047812779998779295
17,46.48514640000212,4.218055893707275,42.23885,0.4223885,5.0,129.12394471979238,69.7025,80.025,87.6475,0.0705087435722351,4.161094546890259,52.5172,0.525172,5.0,153.40089308736114,69.88,78.56,85.76,0.049226611328125
18,45.62847060000058,4.2023165313720705,41.403775,0.41403775000000004,5.0,127.30906536849605,69.925,80.2175,87.8075,0.07091156444549561,4.124530858612061,43.206,0.43206000000000006,4.0,135.6004867247902,72.02,81.0,87.88,0.04985106582641602
19,49.21180800000002,4.187849936676026,40.17655,0.4017655,5.0,125.24805727036248,70.3475,80.83500000000001,88.33,0.07093141250610352,4.114111730957031,43.9954,0.43995399999999996,4.0,135.77515310247304,71.8,81.22,87.52,0.051832617950439454
20,49.95708260000174,4.172782447052002,38.91945,0.3891945,5.0,122.83584106440595,70.54,81.0925,88.6275,0.07100253162384033,4.076548645782471,35.2046,0.35204599999999997,4.0,116.064095223286,73.54,82.5,89.32,0.0482175163269043
21,55.60814940000273,4.165628453063965,38.570775,0.38570774999999996,5.0,122.20370769743445,70.8425,81.11749999999999,88.74,0.07093755884170533,4.082521948623657,40.3102,0.403102,4.0,127.27791245931087,71.67999999999999,81.22,88.36,0.051399777984619144
22,54.247543899997254,4.154415187835693,37.55585,0.3755585,5.0,119.79479037086713,70.965,81.47999999999999,88.965,0.07126935501098633,4.07006410446167,44.3132,0.443132,4.0,141.42392725419558,72.86,82.08,88.1,0.049268114852905276
23,54.0217040000025,4.140879168701172,36.345,0.36345,5.0,117.45235076404389,71.41999999999999,81.8725,89.21,0.07096071424484253,4.071215712738037,35.23,0.35229999999999995,4.0,117.44370225772006,73.3,82.86,89.68,0.04671227569580078
24,52.892708300001686,4.135565075683593,35.7682,0.357682,5.0,116.5317040551626,71.6025,81.94500000000001,89.52250000000001,0.07111972484588623,4.069472864532471,33.8014,0.33801400000000004,4.0,115.25915581852924,74.88,83.72,90.42,0.04678668823242187
25,46.007190000000264,4.128210967254638,34.959375,0.34959375000000004,5.0,113.80977649130149,71.695,82.125,89.60249999999999,0.07106276063919068,4.050092245483398,34.2794,0.34279400000000004,4.0,113.59071176817231,73.4,82.89999999999999,89.44,0.04967263031005859
26,48.90891980000015,4.113705773162842,33.160225,0.33160225,5.0,109.71355647776622,72.00750000000001,82.4825,90.015,0.07081200609207153,4.050397992706299,34.7334,0.34733400000000003,4.0,115.48613509854765,73.92,83.34,89.74,0.04661912307739258
27,49.087507899999764,4.107419488525391,32.821875,0.32821875,5.0,109.35017661165436,72.2525,82.685,90.2025,0.07078364810943603,4.040336494445801,32.0228,0.32022799999999996,4.0,106.78587172468089,73.14,83.17999999999999,90.03999999999999,0.04869917831420898
28,47.053783100000146,4.100478456878662,32.410525,0.32410525,5.0,107.93888120135394,72.2725,82.7625,90.2775,0.07069042329788208,4.014623899841308,32.1,0.321,4.0,110.85323450400534,74.64,84.16,90.64,0.04984357070922851
29,47.91205620000255,4.096291585540771,31.98625,0.3198625,5.0,106.8018300405007,72.45,83.005,90.375,0.07049028482437134,4.022639804458618,32.3162,0.323162,4.0,108.65904012092138,74.5,83.76,90.22,0.04840150604248047
30,45.625920899998164,4.089417166900635,31.34135,0.3134135,5.0,104.75701289173914,72.50750000000001,82.985,90.4875,0.07023313484191894,4.016867228698731,30.0588,0.300588,4.0,103.86764077420841,75.33999999999999,84.28,90.94,0.04910359649658203
31,45.701785799999925,4.081959178924561,31.0152,0.310152,5.0,104.26725444740549,72.905,83.1425,90.515,0.07050585374832154,4.007168330383301,31.591,0.31591,4.0,108.38192376960284,74.86,83.98,90.5,0.05010550994873047
32,46.57503259999794,4.072332106781006,30.309,0.30309,4.0,103.0102176970809,73.1025,83.455,90.82249999999999,0.07030177955627441,4.000862883758545,31.2538,0.312538,4.0,106.87058061038127,75.18,84.3,90.56,0.052157524108886716
33,45.3097858000001,4.064494958496094,29.089125,0.29089125,4.0,99.310398876452,73.3225,83.6725,91.035,0.07024034671783447,3.98948994102478,29.7488,0.297488,4.0,104.35601563877378,74.83999999999999,84.34,91.03999999999999,0.050711646270751955
34,48.57353610000064,4.082892631530762,30.121725,0.30121725,4.0,101.15687062676464,72.94,83.4175,90.63250000000001,0.06916302003860474,3.9962763153076173,27.456,0.27455999999999997,4.0,94.88346958243042,74.96000000000001,84.36,91.24,0.051749296569824216
35,49.48088049999933,4.049075743103027,27.78505,0.2778505,4.0,94.58109721292094,73.47749999999999,84.0375,91.31,0.06998936557769775,3.98414990234375,26.4258,0.264258,4.0,93.69381729868839,75.68,85.11999999999999,91.88,0.04994364929199219
36,49.95042060000196,4.048404172515869,28.203225,0.28203225,4.0,96.37726456483396,73.6,84.0225,91.2475,0.06975882148742676,3.973898133850098,24.6932,0.246932,4.0,88.61154100905819,76.0,85.58,92.4,0.049317496490478514
37,49.97611560000223,4.043924361419678,27.71555,0.2771555,4.0,94.28407421192617,73.5425,83.9675,91.265,0.06953737440109253,3.967621659851074,26.5224,0.265224,4.0,93.5674516057801,75.76,85.26,91.67999999999999,0.051505419921875
38,50.7049365999992,4.032655795669555,26.583425,0.26583425,4.0,90.69845354249432,74.0825,84.325,91.5625,0.06982857570648193,3.9737806144714356,25.5516,0.255516,4.0,92.00841265884333,75.98,85.46000000000001,91.86,0.04987376708984375
