INSTITUTO GEOFISICO DEL PERU
CENTRO NACIONAL DE MONITOREO SISMICO
Calle Calatrava 216 - La Molina 15023
http://www.igp.gob.pe

1. ESTACION SISMICA
NOMBRE  : Isla San Lorenzo, Callao
CODIGO  : SLN1
LATITUD : -12.076
LONGITUD: -77.235

2. SISMO
FECHA LOCAL     : 2022/05/30
HORA LOCAL      : 02:04:18
LATITUD         : -12.740
LONGITUD        : -76.870
PROFUNDIDAD     : 48.0 km
MAGNITUD        : M4.9
DIST. EPICENTRAL: 83.7 km

3. REGISTRO DE ACELERACION
TIEMPO DE INICIO           : 2022/05/30 07:04:24 UTC
NUMERO DE MUESTRAS         : 8610
MUESTREO                   : 100.0 muestras/segundo
REGISTROS                  : Formato corregido por instrumento
CORRECCION POR LINEA BASE  : Si
UNIDADES                   : cm/s2
REGISTROS POR COMPONENTE   : Z: Vertical  N: Norte-Sur  E: Este-Oeste
PGA                        :    1.3783         3.2658        2.9858

              Z              N              E
         -0.001119        0.000058       -0.000596
         -0.001540       -0.000655       -0.000591
         -0.000784        0.000029       -0.000030
          0.000348        0.001460        0.000671
          0.000520        0.001823        0.000808
         -0.000205        0.000654        0.000665
         -0.000539       -0.000443        0.000947
         -0.000013       -0.000263        0.001365
          0.000359        0.000400        0.001142
         -0.000157        0.000421        0.000408
         -0.000689       -0.000024       -0.000027
         -0.000144       -0.000267        0.000077
          0.000835       -0.000196        0.000174
          0.000791        0.000104        0.000045
         -0.000099        0.000640        0.000388
         -0.000317        0.001064        0.001433
          0.000425        0.000892        0.001805
          0.000834        0.000308        0.000560
          0.000228       -0.000132       -0.000723
         -0.000597       -0.000400       -0.000349
         -0.000746       -0.000620        0.000543
         -0.000282       -0.000467        0.000290
          0.000161       -0.000036       -0.000201
          0.000231       -0.000240        0.000429
          0.000227       -0.001232        0.001247
          0.000721       -0.001678        0.000914
          0.001775       -0.000601       -0.000031
          0.002558        0.001018       -0.000467
          0.001965        0.001359       -0.000379
          0.000064        0.000088       -0.000365
         -0.001457       -0.001206       -0.000705
         -0.001250       -0.001141       -0.001249
         -0.000118       -0.000269       -0.001641
          0.000352        0.000156       -0.001521
          0.000035        0.000183       -0.000741
         -0.000194        0.000618        0.000381
         -0.000216        0.001232        0.001117
         -0.000551        0.001043        0.000999
         -0.001082        0.000067        0.000373
         -0.001055       -0.000611       -0.000014
         -0.000279       -0.000493       -0.000021
          0.000484       -0.000383       -0.000250
          0.000573       -0.001128       -0.000884
          0.000236       -0.002179       -0.001099
         -0.000037       -0.002172       -0.000411
         -0.000338       -0.000915        0.000275
         -0.000779        0.000235        0.000036
         -0.000826        0.000310       -0.000610
         -0.000149       -0.000181       -0.000703
          0.000531       -0.000442       -0.000345
          0.000488       -0.000433       -0.000306
          0.000203       -0.000459       -0.000759
          0.000418       -0.000623       -0.001057
          0.000742       -0.000725       -0.000691
          0.000422       -0.000425       -0.000016
         -0.000191        0.000101        0.000355
         -0.000277        0.000035        0.000447
         -0.000111       -0.000766        0.000627
         -0.000525       -0.001092        0.000877
         -0.001102       -0.000019        0.000920
         -0.000568        0.001557        0.000614
          0.000858        0.001931       -0.000033
          0.001335        0.000660       -0.000843
          0.000204       -0.000997       -0.001383
